0; Zero
AMARC.FORNO.FIAMMA_MANCANTE; Mancanza totale fiamma
AMARC.FORNO.FIAMMA_SPURIA; Fiamma spuria
AMARC.FORNO.FIT415.OUT; Out regolatore aria combustione
AMARC.FORNO.FLAME_DETECTOR; Flame Detector 0-100
AMARC.FORNO.GENERAL_OK; Condizioni generali funzionamento caldaia
AMARC.FORNO.INTERBLOCCO; Interblocco tra tentativi attivo
AMARC.FORNO.INTERDIZIONEPILOTI; Tempo interdizione piloti
AMARC.FORNO.LAVAGGIO_FALLITO; Lavaggio camera di combustione fallito
AMARC.FORNO.LAVAGGIO_IN_CORSO; Lavaggio camera di combustione in corso
AMARC.FORNO.LAVAGGIO_VALIDO; Lavaggio camera di combustione valido
AMARC.FORNO.MAN_AUTO; Regolatore PID Master Caldaia Automatico/manuale (0=Automatico)
AMARC.FORNO.NATURALDRAFT; Tempo natural draft
AMARC.FORNO.OPE_SEPO; Regolatore PID Master Caldaia Operatore/Sepo (0=Operatore)
AMARC.FORNO.OUT; 
AMARC.FORNO.PID.ARIA.DEAD_BAND; Banda morta
AMARC.FORNO.PID.ARIA.GAIN; Guadagno proporzionale
AMARC.FORNO.PID.ARIA.MAN_AUTO; PID Automatico/manuale (0=Automatico)
AMARC.FORNO.PID.ARIA.OUT; Uscita regolatore
AMARC.FORNO.PID.ARIA.SET_INTERNAL; Set interno
AMARC.FORNO.PID.ARIA.SET_MANUAL; Set manuale
AMARC.FORNO.PID.ARIA.SET_PID; Setpoint PID aria (0=Interno;  1=Esterno)
AMARC.FORNO.PID.ARIA.TD; Tempo derivativo
AMARC.FORNO.PID.ARIA.TI; Tempo integrale
AMARC.FORNO.PID.GASOLIO.DEAD_BAND; Banda morta
AMARC.FORNO.PID.GASOLIO.GAIN; Guadagno proporzionale
AMARC.FORNO.PID.GASOLIO.MAN_AUTO; PID Automatico/manuale (0=Automatico)
AMARC.FORNO.PID.GASOLIO.OUT; Uscita regolatore
AMARC.FORNO.PID.GASOLIO.SET_INTERNAL; Set interno
AMARC.FORNO.PID.GASOLIO.SET_MANUAL; Set manuale
AMARC.FORNO.PID.GASOLIO.SET_PID; Setpoint PID gasolio (0=Interno;  1=Esterno)
AMARC.FORNO.PID.GASOLIO.TD; Tempo derivativo
AMARC.FORNO.PID.GASOLIO.TI; Tempo integrale
AMARC.FORNO.PID.TT314.BUMPLESS; Bump less
AMARC.FORNO.PID.TT314.GAIN; Guadagno proporzionale
AMARC.FORNO.PID.TT314.HLSP; Limite superiore di regolazione
AMARC.FORNO.PID.TT314.LLSP; Limite inferiore di regolazione
AMARC.FORNO.PID.TT314.MANUAL; Set manuale
AMARC.FORNO.PID.TT314.MANUTENZIONE; Attivazione modalità manutenzione regolatore master forno
AMARC.FORNO.PID.TT314.MODE; Modalità di funzionamento
AMARC.FORNO.PID.TT314.OUT; Uscita regolatore
AMARC.FORNO.PID.TT314.PHASE; N° Fase Auto Tracking
AMARC.FORNO.PID.TT314.RESET; Reset impostazioni regolatore TT314
AMARC.FORNO.PID.TT314.SET_POINT; Set point
AMARC.FORNO.PID.TT314.SOFT_PERC_START; Percentuale soft start
AMARC.FORNO.PID.TT314.SOFT_TEMP_START; Temperatura soft start
AMARC.FORNO.PID.TT314.SUBPHASE; N° Sotto Fase Auto Tracking
AMARC.FORNO.PID.TT314.TD; Tempo derivativo
AMARC.FORNO.PID.TT314.TEMP_CALC; Tempo di calcolo
AMARC.FORNO.PID.TT314.TI; Tempo integrativo
